,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,20700001,1610612759,Spurs,SAS,San Antonio,240:00,111.1,115.2,102.7,104.3,8.4,10.9,0.512,2.33,16.4,0.33299999999999996,,,9.43,9.8,0.506,0.5379999999999999,1.0,0.19899999999999998,94.96,92.5,77.08,92,0.5529999999999999
1,20700001,1610612757,Trail Blazers,POR,Portland,240:00,102.7,104.3,111.1,115.2,-8.4,-10.9,0.385,0.88,12.8,,0.667,,17.993,18.3,0.5379999999999999,0.5670000000000001,1.0,0.19899999999999998,94.96,92.5,77.08,93,0.447
2,20700002,1610612747,Lakers,LAL,Los Angeles,240:00,96.1,96.9,100.4,97.9,-4.3,-1.1,0.563,1.5,14.3,0.264,0.696,0.465,12.397,12.5,0.434,0.485,1.0,0.20199999999999999,95.72,96.5,80.42,96,0.462
3,20700002,1610612745,Rockets,HOU,Houston,240:00,100.4,97.9,96.1,96.9,4.3,1.1,0.6759999999999999,1.21,17.7,0.304,0.736,0.535,20.076,19.6,0.5,0.542,1.0,0.201,95.72,96.5,80.42,97,0.5379999999999999
4,20700003,1610612762,Jazz,UTA,Utah,240:00,107.5,110.4,90.0,90.6,17.5,19.8,0.585,1.26,16.1,0.415,0.8240000000000001,0.615,17.457,17.9,0.483,0.5529999999999999,1.0,0.20199999999999999,107.78,106.0,88.33,106,0.644
5,20700003,1610612744,Warriors,GSW,Golden State,240:00,90.0,90.6,107.5,110.4,-17.5,-19.8,0.594,0.95,14.3,0.17600000000000002,0.585,0.385,18.741,18.9,0.455,0.512,1.0,0.20199999999999999,107.78,106.0,88.33,106,0.35600000000000004
6,20700004,1610612761,Raptors,TOR,Toronto,240:00,113.4,117.8,102.0,106.6,11.4,11.2,0.561,2.09,18.2,0.304,0.58,0.44799999999999995,11.767000000000001,12.2,0.535,0.573,1.0,0.19699999999999998,94.3,90.5,75.42,90,0.55
7,20700004,1610612755,76ers,PHI,Philadelphia,240:00,102.0,106.6,113.4,117.8,-11.4,-11.2,0.579,1.22,16.7,0.42,0.696,0.552,18.923,19.8,0.506,0.526,1.0,0.198,94.3,90.5,75.42,91,0.45
8,20700005,1610612753,Magic,ORL,Orlando,240:00,114.1,113.3,88.6,93.3,25.5,20.1,0.469,1.5,13.2,0.22699999999999998,0.593,0.43700000000000006,11.186,11.1,0.521,0.5770000000000001,1.0,0.19699999999999998,91.54,89.5,74.58,90,0.675
9,20700005,1610612749,Bucks,MIL,Milwaukee,240:00,88.6,93.3,114.1,113.3,-25.5,-20.1,0.485,1.07,12.5,0.40700000000000003,0.773,0.563,16.012,16.9,0.402,0.429,1.0,0.19899999999999998,91.54,89.5,74.58,89,0.325
10,20700006,1610612764,Wizards,WAS,Washington,265:00,96.7,99.1,107.4,108.2,-10.7,-9.1,0.41700000000000004,0.83,9.9,0.371,0.679,0.508,15.817,16.2,0.39399999999999996,0.46299999999999997,1.0,0.19899999999999998,101.72,100.08,83.4,111,0.369
