,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Date
0,22100001,1610612749,Bucks,MIL,Milwaukee,240:00:00,117.7,124.5,101.8,102,15.8,22.5,0.521,3.13,17.1,0.293,0.824,0.541,7.413,7.8,0.538,0.562,1,0.194,105.02,102,85,102,0.593,2021-10-19
1,22100001,1610612751,Nets,BKN,Brooklyn,240:00:00,101.8,102,117.7,124.5,-15.8,-22.5,0.514,1.46,15.1,0.176,0.707,0.459,12.73,12.7,0.542,0.552,1,0.2,105.02,102,85,102,0.407,2021-10-19
2,22100002,1610612747,Lakers,LAL,Los Angeles,240:00:00,98,101.8,106,107.1,-8,-5.3,0.467,1.17,14.8,0.189,0.759,0.477,15.469,16.1,0.553,0.551,1,0.198,115.28,112.5,93.75,112,0.422,2021-10-19
3,22100002,1610612744,Warriors,GSW,Golden State,240:00:00,106,107.1,98,101.8,8,5.3,0.732,1.76,19.6,0.241,0.811,0.523,14.886,15,0.516,0.57,1,0.2,115.28,112.5,93.75,113,0.578,2021-10-19
4,22100003,1610612754,Pacers,IND,Indiana,240:00:00,111.4,114,107.1,116,4.3,-2,0.69,1.71,19.8,0.255,0.667,0.487,15.517,15.9,0.561,0.607,1,0.199,112.22,106.5,88.75,107,0.52,2021-10-20
5,22100003,1610612766,Hornets,CHA,Charlotte,240:00:00,107.1,116,111.4,114,-4.3,2,0.63,3.63,18.6,0.333,0.745,0.513,6.964,7.5,0.491,0.517,1,0.2,112.22,106.5,88.75,106,0.48,2021-10-20
6,22100004,1610612765,Pistons,DET,Detroit,240:00:00,86.5,89.8,93.4,95.9,-6.9,-6.1,0.472,1,13.1,0.263,0.74,0.486,16.713,17.3,0.433,0.46,1,0.195,101.16,98,81.67,98,0.455,2021-10-20
7,22100004,1610612741,Bulls,CHI,Chicago,240:00:00,93.4,95.9,86.5,89.8,6.9,6.1,0.486,1.06,14.1,0.26,0.737,0.514,16.899,17.3,0.471,0.508,1,0.199,101.16,98,81.67,98,0.545,2021-10-20
8,22100005,1610612752,Knicks,NYK,New York,290:00:00,107.1,110.4,103,108.1,4.1,2.3,0.529,1.42,16.6,0.281,0.704,0.516,14.742,15.2,0.567,0.59,1,0.197,107.17,103.03,85.86,125,0.521,2021-10-20
9,22100005,1610612738,Celtics,BOS,Boston,290:00:00,103,108.1,107.1,110.4,-4.1,-2.3,0.708,1.89,19,0.296,0.719,0.484,13.833,14.5,0.5,0.527,1,0.198,107.17,103.03,85.86,124,0.479,2021-10-20
10,22100006,1610612764,Wizards,WAS,Washington,240:00:00,91.2,92.5,77.8,77.6,13.4,14.9,0.556,0.91,14.9,0.2,0.696,0.5,20.477,20.8,0.475,0.53,1,0.197,107.06,106.5,88.75,106,0.7,2021-10-20
11,22100006,1610612761,Raptors,TOR,Toronto,240:00:00,77.8,77.6,91.2,92.5,-13.4,-14.9,0.467,0.74,10,0.304,0.8,0.5,17.81,17.8,0.345,0.389,1,0.201,107.06,106.5,88.75,107,0.3,2021-10-20
12,22100007,1610612763,Grizzlies,MEM,Memphis,240:00:00,126.6,125.7,115.3,116.3,11.3,9.4,0.528,2.33,19.3,0.34,0.837,0.594,11.507,11.4,0.6,0.627,1,0.196,104.6,104.5,87.08,105,0.544,2021-10-20
13,22100007,1610612739,Cavaliers,CLE,Cleveland,240:00:00,115.3,116.3,126.6,125.7,-11.3,-9.4,0.809,3.45,25.3,0.163,0.66,0.406,10.484,10.6,0.581,0.599,1,0.195,104.6,104.5,87.08,104,0.456,2021-10-20
14,22100008,1610612750,Timberwolves,MIN,Minnesota,240:00:00,117.4,114.8,96.6,98.1,20.7,16.7,0.619,1.44,18,0.292,0.686,0.495,17.039,16.7,0.575,0.616,1,0.202,107.66,108,90,108,0.627,2021-10-20
15,22100008,1610612745,Rockets,HOU,Houston,240:00:00,96.6,98.1,117.4,114.8,-20.7,-16.7,0.525,0.88,14.7,0.314,0.708,0.505,21.882,22.2,0.517,0.543,1,0.201,107.66,108,90,108,0.373,2021-10-20
16,22100009,1610612755,76ers,PHI,Philadelphia,240:00:00,116.1,118.2,96.1,98,20,20.2,0.545,1.85,18.3,0.205,0.764,0.515,12.897,13.1,0.594,0.624,1,0.199,100.88,99,82.5,99,0.6,2021-10-20
17,22100009,1610612740,Pelicans,NOP,New Orleans,240:00:00,96.1,98,116.1,118.2,-20,-20.2,0.718,2,20.1,0.236,0.795,0.485,13.867,14.1,0.489,0.5,1,0.196,100.88,99,82.5,99,0.4,2021-10-20
18,22100010,1610612759,Spurs,SAS,San Antonio,240:00:00,121.9,128.1,97.9,102.1,24,26,0.653,4,21.9,0.385,0.66,0.524,7.927,8.3,0.566,0.581,1,0.2,100.02,95.5,79.58,96,0.629,2021-10-20
19,22100010,1610612753,Magic,ORL,Orlando,240:00:00,97.9,102.1,121.9,128.1,-24,-26,0.486,1.06,13.2,0.34,0.615,0.476,16.142,16.8,0.459,0.505,1,0.2,100.02,95.5,79.58,95,0.371,2021-10-20
20,22100011,1610612762,Jazz,UTA,Utah,240:00:00,111.9,111.5,86.9,90.5,25,20.9,0.45,1.8,14.3,0.275,0.705,0.509,10.46,10.4,0.516,0.548,1,0.199,97.26,95.5,79.58,96,0.627,2021-10-20
21,22100011,1610612760,Thunder,OKC,Oklahoma City,240:00:00,86.9,90.5,111.9,111.5,-25,-20.9,0.559,1.27,14.3,0.295,0.725,0.491,15.164,15.8,0.412,0.435,1,0.197,97.26,95.5,79.58,95,0.373,2021-10-20
22,22100012,1610612756,Suns,PHX,Phoenix,240:00:00,96.6,97,110,108.9,-13.5,-11.9,0.639,1.28,17,0.259,0.829,0.505,17.737,17.8,0.494,0.519,1,0.201,100.72,101,84.17,101,0.428,2021-10-20
23,22100012,1610612743,Nuggets,DEN,Denver,240:00:00,110,108.9,96.6,97,13.5,11.9,0.568,1.32,19.1,0.171,0.741,0.495,19.008,18.8,0.633,0.632,1,0.196,100.72,101,84.17,101,0.572,2021-10-20
24,22100013,1610612758,Kings,SAC,Sacramento,240:00:00,115.1,117,113.4,114.2,1.6,2.8,0.571,2.4,17.3,0.204,0.755,0.466,9.28,9.4,0.549,0.592,1,0.2,107.22,106,88.33,106,0.49,2021-10-20
25,22100013,1610612757,Trail Blazers,POR,Portland,240:00:00,113.4,114.2,115.1,117,-1.6,-2.8,0.556,1.92,17.8,0.245,0.796,0.534,12.186,12.3,0.548,0.589,1,0.199,107.22,106,88.33,106,0.51,2021-10-20
26,22100014,1610612742,Mavericks,DAL,Dallas,240:00:00,83.9,83.7,107.7,108.7,-23.8,-25,0.516,1.07,12.3,0.19,0.84,0.478,14.462,14.4,0.403,0.441,1,0.2,104.34,104,86.67,104,0.307,2021-10-21
27,22100014,1610612737,Hawks,ATL,Atlanta,240:00:00,107.7,108.7,83.9,83.7,23.8,25,0.689,2.38,21.8,0.16,0.81,0.522,12.386,12.5,0.559,0.577,1,0.198,104.34,104,86.67,104,0.693,2021-10-21
28,22100015,1610612749,Bucks,MIL,Milwaukee,240:00:00,89,90.5,125,128,-36,-37.6,0.594,1.27,14.5,0.107,0.698,0.394,14.05,14.3,0.452,0.491,1,0.199,108.2,106,88.33,105,0.282,2021-10-21
29,22100015,1610612748,Heat,MIA,Miami,240:00:00,125,128,89,90.5,36,37.6,0.549,2.55,18.8,0.302,0.893,0.606,10.033,10.3,0.609,0.625,1,0.199,108.2,106,88.33,107,0.718,2021-10-21
30,22100016,1610612746,Clippers,LAC,LA,240:00:00,108.4,108.7,110.9,112.7,-2.5,-4.1,0.571,3.43,17.6,0.207,0.727,0.431,6.715,6.7,0.51,0.537,1,0.2,103.96,103,85.83,104,0.455,2021-10-21
31,22100016,1610612744,Warriors,GSW,Golden State,240:00:00,110.9,112.7,108.4,108.7,2.5,4.1,0.628,1.29,19.2,0.273,0.793,0.569,20.255,20.6,0.608,0.62,1,0.201,103.96,103,85.83,102,0.545,2021-10-21
32,22100017,1610612739,Cavaliers,CLE,Cleveland,240:00:00,106.9,105.7,116.6,116,-9.7,-10.4,0.605,1.37,18.9,0.186,0.705,0.448,18.13,17.9,0.565,0.603,1,0.199,105.14,106,88.33,106,0.444,2021-10-22
