,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,22100001,1610612749,Bucks,MIL,Milwaukee,240:00,48.0,105.0,0.457,17.0,45.0,0.37799999999999995,14.0,18.0,0.778,13.0,41.0,54.0,25.0,8.0,9.0,7.0,19.0,127.0,23.0
1,22100001,1610612751,Nets,BKN,Brooklyn,240:00,37.0,84.0,0.44,17.0,32.0,0.531,13.0,23.0,0.565,5.0,39.0,44.0,19.0,3.0,9.0,12.0,17.0,104.0,-23.0
2,22100002,1610612747,Lakers,LAL,Los Angeles,240:00,45.0,95.0,0.474,15.0,42.0,0.35700000000000004,9.0,19.0,0.474,5.0,40.0,45.0,21.0,7.0,4.0,17.0,25.0,114.0,-7.0
3,22100002,1610612744,Warriors,GSW,Golden State,240:00,41.0,93.0,0.441,14.0,39.0,0.359,25.0,30.0,0.833,9.0,41.0,50.0,30.0,9.0,2.0,17.0,18.0,121.0,7.0
4,22100003,1610612754,Pacers,IND,Indiana,240:00,42.0,90.0,0.467,17.0,47.0,0.36200000000000004,21.0,24.0,0.875,8.0,43.0,51.0,29.0,2.0,10.0,16.0,24.0,122.0,-1.0
5,22100003,1610612766,Hornets,CHA,Charlotte,240:00,46.0,107.0,0.43,13.0,31.0,0.419,18.0,27.0,0.667,12.0,34.0,46.0,29.0,9.0,5.0,8.0,21.0,123.0,1.0
6,22100004,1610612765,Pistons,DET,Detroit,240:00,36.0,90.0,0.4,6.0,28.0,0.214,10.0,13.0,0.769,11.0,36.0,47.0,17.0,7.0,5.0,16.0,16.0,88.0,-6.0
7,22100004,1610612741,Bulls,CHI,Chicago,240:00,37.0,86.0,0.43,7.0,23.0,0.304,13.0,15.0,0.867,9.0,39.0,48.0,18.0,8.0,5.0,17.0,19.0,94.0,6.0
8,22100005,1610612752,Knicks,NYK,New York,290:00,51.0,105.0,0.486,17.0,45.0,0.37799999999999995,19.0,27.0,0.7040000000000001,7.0,48.0,55.0,27.0,9.0,10.0,17.0,22.0,138.0,4.0
9,22100005,1610612738,Celtics,BOS,Boston,290:00,48.0,117.0,0.41,21.0,57.0,0.368,17.0,23.0,0.7390000000000001,15.0,41.0,56.0,34.0,13.0,9.0,18.0,24.0,134.0,-4.0
10,22100006,1610612764,Wizards,WAS,Washington,240:00,36.0,81.0,0.444,5.0,27.0,0.185,21.0,26.0,0.8079999999999999,7.0,44.0,51.0,20.0,14.0,8.0,21.0,17.0,98.0,15.0
11,22100006,1610612761,Raptors,TOR,Toronto,240:00,30.0,97.0,0.309,7.0,34.0,0.20600000000000002,16.0,22.0,0.727,19.0,35.0,54.0,14.0,10.0,4.0,19.0,21.0,83.0,-15.0
12,22100007,1610612763,Grizzlies,MEM,Memphis,240:00,53.0,100.0,0.53,14.0,33.0,0.424,12.0,12.0,1.0,13.0,40.0,53.0,28.0,8.0,8.0,10.0,15.0,132.0,11.0
13,22100007,1610612739,Cavaliers,CLE,Cleveland,240:00,47.0,93.0,0.505,14.0,38.0,0.368,13.0,18.0,0.722,7.0,29.0,36.0,38.0,6.0,5.0,10.0,17.0,121.0,-11.0
14,22100008,1610612750,Timberwolves,MIN,Minnesota,240:00,42.0,87.0,0.483,16.0,38.0,0.42100000000000004,24.0,31.0,0.774,13.0,33.0,46.0,26.0,18.0,13.0,18.0,22.0,124.0,18.0
15,22100008,1610612745,Rockets,HOU,Houston,240:00,40.0,88.0,0.455,11.0,33.0,0.33299999999999996,15.0,22.0,0.682,12.0,29.0,41.0,21.0,13.0,3.0,24.0,25.0,106.0,-18.0
16,22100009,1610612755,76ers,PHI,Philadelphia,240:00,44.0,85.0,0.518,13.0,25.0,0.52,16.0,20.0,0.8,6.0,41.0,47.0,24.0,9.0,5.0,12.0,11.0,117.0,20.0
17,22100009,1610612740,Pelicans,NOP,New Orleans,240:00,39.0,93.0,0.419,13.0,30.0,0.433,6.0,9.0,0.667,10.0,34.0,44.0,28.0,5.0,6.0,13.0,16.0,97.0,-20.0
18,22100010,1610612759,Spurs,SAS,San Antonio,240:00,49.0,98.0,0.5,13.0,30.0,0.433,12.0,18.0,0.667,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,123.0,26.0
19,22100010,1610612753,Magic,ORL,Orlando,240:00,35.0,86.0,0.40700000000000003,9.0,29.0,0.31,18.0,23.0,0.7829999999999999,13.0,31.0,44.0,17.0,6.0,6.0,16.0,20.0,97.0,-26.0
20,22100011,1610612762,Jazz,UTA,Utah,240:00,40.0,91.0,0.44,14.0,47.0,0.298,13.0,15.0,0.867,12.0,41.0,53.0,18.0,6.0,5.0,10.0,19.0,107.0,21.0
21,22100011,1610612760,Thunder,OKC,Oklahoma City,240:00,34.0,91.0,0.374,7.0,35.0,0.2,11.0,18.0,0.611,15.0,35.0,50.0,19.0,4.0,2.0,14.0,15.0,86.0,-21.0
22,22100012,1610612756,Suns,PHX,Phoenix,240:00,36.0,87.0,0.414,14.0,37.0,0.37799999999999995,12.0,17.0,0.706,11.0,34.0,45.0,23.0,9.0,3.0,18.0,18.0,98.0,-12.0
23,22100012,1610612743,Nuggets,DEN,Denver,240:00,44.0,83.0,0.53,17.0,39.0,0.436,5.0,9.0,0.556,6.0,40.0,46.0,25.0,9.0,1.0,17.0,20.0,110.0,12.0
24,22100013,1610612758,Kings,SAC,Sacramento,240:00,42.0,92.0,0.457,17.0,41.0,0.415,23.0,29.0,0.7929999999999999,7.0,36.0,43.0,24.0,6.0,4.0,10.0,22.0,124.0,3.0
25,22100013,1610612757,Trail Blazers,POR,Portland,240:00,45.0,93.0,0.484,12.0,35.0,0.34299999999999997,19.0,22.0,0.8640000000000001,9.0,40.0,49.0,25.0,5.0,5.0,12.0,22.0,121.0,-3.0
26,22100014,1610612742,Mavericks,DAL,Dallas,240:00,31.0,93.0,0.333,13.0,43.0,0.302,12.0,13.0,0.923,10.0,40.0,50.0,16.0,7.0,3.0,15.0,21.0,87.0,-26.0
27,22100014,1610612737,Hawks,ATL,Atlanta,240:00,45.0,94.0,0.479,15.0,35.0,0.429,8.0,9.0,0.889,6.0,49.0,55.0,31.0,8.0,9.0,13.0,16.0,113.0,26.0
28,22100015,1610612749,Bucks,MIL,Milwaukee,240:00,32.0,84.0,0.381,12.0,42.0,0.28600000000000003,19.0,29.0,0.655,5.0,33.0,38.0,19.0,6.0,0.0,15.0,26.0,95.0,-42.0
29,22100015,1610612748,Heat,MIA,Miami,240:00,51.0,96.0,0.531,15.0,35.0,0.429,20.0,31.0,0.645,11.0,47.0,58.0,28.0,8.0,2.0,11.0,26.0,137.0,42.0
