,Game_ID,Date,Away_Team,ML_Home,Home_Team,ML_Away,Team,Team_Opp,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,FGM_Opp,FGA_Opp,FG_PCT_Opp,FG3M_Opp,FG3A_Opp,FG3_PCT_Opp,FTM_Opp,FTA_Opp,FT_PCT_Opp,OREB_Opp,DREB_Opp,REB_Opp,AST_Opp,STL_Opp,BLK_Opp,TO_Opp,PF_Opp,PTS_Opp,PLUS_MINUS_Opp,E_OFF_RATING_Opp,OFF_RATING_Opp,E_DEF_RATING_Opp,DEF_RATING_Opp,E_NET_RATING_Opp,NET_RATING_Opp,AST_PCT_Opp,AST_TOV_Opp,AST_RATIO_Opp,OREB_PCT_Opp,DREB_PCT_Opp,REB_PCT_Opp,E_TM_TOV_PCT_Opp,TM_TOV_PCT_Opp,EFG_PCT_Opp,TS_PCT_Opp,USG_PCT_Opp,E_USG_PCT_Opp,E_PACE_Opp,PACE_Opp,PACE_PER40_Opp,POSS_Opp,PIE_Opp,Wins,Losses,Wins_Opp,Losses_Opp,Win_Pct,Win_Pct_Opp
0,22100001,2021-10-19,Nets,0.0,Bucks,0.0,Bucks,Nets,48,105,0.457,17,45,0.37799999999999995,14,18,0.778,13,41,54,25,8,9,7,19,127,23.0,117.7,124.5,101.8,102.0,15.8,22.5,0.521,3.13,17.1,0.293,0.8240000000000001,0.541,7.4129999999999985,7.8,0.5379999999999999,0.562,1.0,0.19399999999999998,105.02,102.0,85.0,102.0,0.593,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,-23.0,101.8,102.0,117.7,124.5,-15.8,-22.5,0.514,1.46,15.1,0.17600000000000002,0.7070000000000001,0.45899999999999996,12.73,12.7,0.542,0.552,1.0,0.2,105.02,102.0,85.0,102.0,0.40700000000000003,0.0,0.0,0.0,0.0,,
1,22100002,2021-10-19,Warriors,0.0,Lakers,0.0,Lakers,Warriors,45,95,0.474,15,42,0.35700000000000004,9,19,0.474,5,40,45,21,7,4,17,25,114,-7.0,98.0,101.8,106.0,107.1,-8.0,-5.3,0.467,1.17,14.8,0.18899999999999997,0.759,0.47700000000000004,15.469000000000001,16.1,0.5529999999999999,0.551,1.0,0.198,115.28,112.5,93.75,112.0,0.42200000000000004,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,7.0,106.0,107.1,98.0,101.8,8.0,5.3,0.732,1.76,19.6,0.24100000000000002,0.8109999999999999,0.523,14.886,15.0,0.516,0.57,1.0,0.2,115.28,112.5,93.75,113.0,0.578,0.0,0.0,0.0,0.0,,
2,22100003,2021-10-20,Pacers,0.0,Hornets,0.0,Pacers,Hornets,42,90,0.467,17,47,0.36200000000000004,21,24,0.875,8,43,51,29,2,10,16,24,122,-1.0,111.4,114.0,107.1,116.0,4.3,-2.0,0.69,1.71,19.8,0.255,0.667,0.48700000000000004,15.517000000000001,15.9,0.561,0.607,1.0,0.19899999999999998,112.22,106.5,88.75,107.0,0.52,46,107,0.43,13,31,0.419,18,27,0.667,12,34,46,29,9,5,8,21,123,1.0,107.1,116.0,111.4,114.0,-4.3,2.0,0.63,3.63,18.6,0.33299999999999996,0.745,0.513,6.9639999999999995,7.5,0.491,0.517,1.0,0.2,112.22,106.5,88.75,106.0,0.48,0.0,0.0,0.0,0.0,,
3,22100004,2021-10-20,Bulls,0.0,Pistons,0.0,Pistons,Bulls,36,90,0.4,6,28,0.214,10,13,0.769,11,36,47,17,7,5,16,16,88,-6.0,86.5,89.8,93.4,95.9,-6.9,-6.1,0.47200000000000003,1.0,13.1,0.263,0.74,0.486,16.713,17.3,0.433,0.46,1.0,0.195,101.16,98.0,81.67,98.0,0.455,37,86,0.43,7,23,0.304,13,15,0.867,9,39,48,18,8,5,17,19,94,6.0,93.4,95.9,86.5,89.8,6.9,6.1,0.486,1.06,14.1,0.26,0.737,0.514,16.899,17.3,0.47100000000000003,0.508,1.0,0.19899999999999998,101.16,98.0,81.67,98.0,0.545,0.0,0.0,0.0,0.0,,
4,22100005,2021-10-20,Celtics,0.0,Knicks,0.0,Knicks,Celtics,51,105,0.486,17,45,0.37799999999999995,19,27,0.7040000000000001,7,48,55,27,9,10,17,22,138,4.0,107.1,110.4,103.0,108.1,4.1,2.3,0.529,1.42,16.6,0.281,0.7040000000000001,0.516,14.742,15.2,0.5670000000000001,0.59,1.0,0.19699999999999998,107.17,103.03,85.86,125.0,0.521,48,117,0.41,21,57,0.368,17,23,0.7390000000000001,15,41,56,34,13,9,18,24,134,-4.0,103.0,108.1,107.1,110.4,-4.1,-2.3,0.708,1.89,19.0,0.29600000000000004,0.7190000000000001,0.484,13.833,14.5,0.5,0.527,1.0,0.198,107.17,103.03,85.86,124.0,0.479,0.0,0.0,0.0,0.0,,
5,22100006,2021-10-20,Wizards,0.0,Raptors,0.0,Wizards,Raptors,36,81,0.444,5,27,0.185,21,26,0.8079999999999999,7,44,51,20,14,8,21,17,98,15.0,91.2,92.5,77.8,77.6,13.4,14.9,0.556,0.91,14.9,0.2,0.696,0.5,20.477,20.8,0.475,0.53,1.0,0.19699999999999998,107.06,106.5,88.75,106.0,0.7,30,97,0.309,7,34,0.20600000000000002,16,22,0.727,19,35,54,14,10,4,19,21,83,-15.0,77.8,77.6,91.2,92.5,-13.4,-14.9,0.467,0.74,10.0,0.304,0.8,0.5,17.81,17.8,0.345,0.389,1.0,0.201,107.06,106.5,88.75,107.0,0.3,0.0,0.0,0.0,0.0,,
6,22100007,2021-10-20,Cavaliers,0.0,Grizzlies,0.0,Grizzlies,Cavaliers,53,100,0.53,14,33,0.424,12,12,1.0,13,40,53,28,8,8,10,15,132,11.0,126.6,125.7,115.3,116.3,11.3,9.4,0.528,2.33,19.3,0.34,0.8370000000000001,0.594,11.507,11.4,0.6,0.627,1.0,0.196,104.6,104.5,87.08,105.0,0.544,47,93,0.505,14,38,0.368,13,18,0.722,7,29,36,38,6,5,10,17,121,-11.0,115.3,116.3,126.6,125.7,-11.3,-9.4,0.809,3.45,25.3,0.163,0.66,0.406,10.484000000000002,10.6,0.581,0.599,1.0,0.195,104.6,104.5,87.08,104.0,0.456,0.0,0.0,0.0,0.0,,
7,22100008,2021-10-20,Rockets,0.0,Timberwolves,0.0,Timberwolves,Rockets,42,87,0.483,16,38,0.42100000000000004,24,31,0.774,13,33,46,26,18,13,18,22,124,18.0,117.4,114.8,96.6,98.1,20.7,16.7,0.619,1.44,18.0,0.292,0.6859999999999999,0.495,17.039,16.7,0.575,0.616,1.0,0.20199999999999999,107.66,108.0,90.0,108.0,0.627,40,88,0.455,11,33,0.33299999999999996,15,22,0.682,12,29,41,21,13,3,24,25,106,-18.0,96.6,98.1,117.4,114.8,-20.7,-16.7,0.525,0.88,14.7,0.314,0.708,0.505,21.881999999999998,22.2,0.517,0.5429999999999999,1.0,0.201,107.66,108.0,90.0,108.0,0.373,0.0,0.0,0.0,0.0,,
8,22100009,2021-10-20,76ers,0.0,Pelicans,0.0,76ers,Pelicans,44,85,0.518,13,25,0.52,16,20,0.8,6,41,47,24,9,5,12,11,117,20.0,116.1,118.2,96.1,98.0,20.0,20.2,0.545,1.85,18.3,0.205,0.764,0.515,12.897,13.1,0.594,0.624,1.0,0.19899999999999998,100.88,99.0,82.5,99.0,0.6,39,93,0.419,13,30,0.433,6,9,0.667,10,34,44,28,5,6,13,16,97,-20.0,96.1,98.0,116.1,118.2,-20.0,-20.2,0.718,2.0,20.1,0.23600000000000002,0.795,0.485,13.867,14.1,0.489,0.5,1.0,0.196,100.88,99.0,82.5,99.0,0.4,0.0,0.0,0.0,0.0,,
9,22100010,2021-10-20,Magic,0.0,Spurs,0.0,Spurs,Magic,49,98,0.5,13,30,0.433,12,18,0.667,13,30,43,32,8,3,8,22,123,26.0,121.9,128.1,97.9,102.1,24.0,26.0,0.653,4.0,21.9,0.385,0.66,0.524,7.9270000000000005,8.3,0.5660000000000001,0.581,1.0,0.2,100.02,95.5,79.58,96.0,0.629,35,86,0.40700000000000003,9,29,0.31,18,23,0.7829999999999999,13,31,44,17,6,6,16,20,97,-26.0,97.9,102.1,121.9,128.1,-24.0,-26.0,0.486,1.06,13.2,0.34,0.615,0.47600000000000003,16.142,16.8,0.45899999999999996,0.505,1.0,0.2,100.02,95.5,79.58,95.0,0.371,0.0,0.0,0.0,0.0,,
